a,b,method,samples,excess_risk
1.9,1.9,constant+average,19500,7.84438888468358e-07
1.9,1.9,constant+average,20000,7.767547344747223e-07
1.9,1.9,constant+average,20763,7.654818441168151e-07
1.9,1.9,constant+average,22109,7.468169251663043e-07
1.9,1.9,constant+average,23541,7.284836234430651e-07
1.9,1.9,constant+average,25066,7.104691007599467e-07
1.9,1.9,constant+average,26690,6.927786763635202e-07
1.9,1.9,constant+average,28419,6.754200259992577e-07
1.9,1.9,constant+average,30260,6.583932002773334e-07
1.9,1.9,constant+average,32221,6.416932777537496e-07
1.9,1.9,constant+average,34308,6.253349849742192e-07
1.9,1.9,constant+average,36531,6.09303714565319e-07
1.9,1.9,constant+average,38897,5.936109241183913e-07
1.9,1.9,constant+average,41417,5.782436386600651e-07
1.9,1.9,constant+average,44101,5.632004560068612e-07
1.9,1.9,constant+average,46958,5.484876595335585e-07
1.9,1.9,constant+average,50000,5.340980159947202e-07
1.9,1.9,1/sqrt(t)+average,100,1.8380819622054002e-06
1.9,1.9,1/sqrt(t)+average,106,1.837841700803967e-06
1.9,1.9,1/sqrt(t)+average,113,1.8374953630840115e-06
1.9,1.9,1/sqrt(t)+average,121,1.8370256235337396e-06
1.9,1.9,1/sqrt(t)+average,129,1.8364895306668375e-06
1.9,1.9,1/sqrt(t)+average,137,1.8358976621124865e-06
1.9,1.9,1/sqrt(t)+average,146,1.835175802544508e-06
1.9,1.9,1/sqrt(t)+average,155,1.8344041930844763e-06
1.9,1.9,1/sqrt(t)+average,165,1.833498307323679e-06
1.9,1.9,1/sqrt(t)+average,176,1.832453137342816e-06
1.9,1.9,1/sqrt(t)+average,187,1.8313662716079353e-06
1.9,1.9,1/sqrt(t)+average,199,1.8301421264302053e-06
1.9,1.9,1/sqrt(t)+average,212,1.8287797351594462e-06
1.9,1.9,1/sqrt(t)+average,226,1.8272795304399522e-06
1.9,1.9,1/sqrt(t)+average,241,1.825643149231556e-06
1.9,1.9,1/sqrt(t)+average,256,1.8239844418822645e-06
1.9,1.9,1/sqrt(t)+average,273,1.8220853974505901e-06
1.9,1.9,1/sqrt(t)+average,291,1.8200599664722092e-06
1.9,1.9,1/sqrt(t)+average,310,1.8179126913501039e-06
1.9,1.9,1/sqrt(t)+average,330,1.815648428768399e-06
1.9,1.9,1/sqrt(t)+average,351,1.8132722309201712e-06
1.9,1.9,1/sqrt(t)+average,374,1.8106766079969025e-06
1.9,1.9,1/sqrt(t)+average,398,1.8079805638752927e-06
1.9,1.9,1/sqrt(t)+average,424,1.8050785064388472e-06
1.9,1.9,1/sqrt(t)+average,451,1.8020889767137516e-06
1.9,1.9,1/sqrt(t)+average,480,1.7989084390770178e-06
1.9,1.9,1/sqrt(t)+average,511,1.7955458664044633e-06
1.9,1.9,1/sqrt(t)+average,545,1.7919041450821512e-06
1.9,1.9,1/sqrt(t)+average,580,1.7882070427992497e-06
1.9,1.9,1/sqrt(t)+average,617,1.7843561939856292e-06
1.9,1.9,1/sqrt(t)+average,657,1.7802593516666646e-06
1.9,1.9,1/sqrt(t)+average,700,1.775930965167349e-06
1.9,1.9,1/sqrt(t)+average,745,1.771483476644547e-06
1.9,1.9,1/sqrt(t)+average,794,1.7667335943824943e-06
1.9,1.9,1/sqrt(t)+average,845,1.7618892880354597e-06
1.9,1.9,1/sqrt(t)+average,900,1.7567743341361514e-06
1.9,1.9,1/sqrt(t)+average,958,1.751498028811851e-06
1.9,1.9,1/sqrt(t)+average,1000,1.7477495456815903e-06
1.9,1.9,1/sqrt(t)+average,1020,1.7459852070173753e-06
1.9,1.9,1/sqrt(t)+average,1086,1.7402541866275143e-06
1.9,1.9,1/sqrt(t)+average,1157,1.7342389473914196e-06
1.9,1.9,1/sqrt(t)+average,1232,1.7280442924124614e-06
1.9,1.9,1/sqrt(t)+average,1311,1.7216862513430091e-06
1.9,1.9,1/sqrt(t)+average,1396,1.7150252838131637e-06
1.9,1.9,1/sqrt(t)+average,1487,1.7080881632517553e-06
1.9,1.9,1/sqrt(t)+average,1583,1.7009735603693645e-06
1.9,1.9,1/sqrt(t)+average,1686,1.6935575654181244e-06
1.9,1.9,1/sqrt(t)+average,1795,1.6859383160643562e-06
1.9,1.9,1/sqrt(t)+average,1911,1.6780705331574859e-06
1.9,1.9,1/sqrt(t)+average,2000,1.6721917660938145e-06
1.9,1.9,1/sqrt(t)+average,2035,1.6699156426730849e-06
1.9,1.9,1/sqrt(t)+average,2167,1.6615042367717669e-06
1.9,1.9,1/sqrt(t)+average,2307,1.6528650349857368e-06
1.9,1.9,1/sqrt(t)+average,2457,1.643907346285743e-06
1.9,1.9,1/sqrt(t)+average,2616,1.6347244820936197e-06
1.9,1.9,1/sqrt(t)+average,2785,1.625289981340667e-06
1.9,1.9,1/sqrt(t)+average,2966,1.6155297308474659e-06
1.9,1.9,1/sqrt(t)+average,3000,1.6137338019741834e-06
1.9,1.9,1/sqrt(t)+average,3158,1.6055354587190492e-06
1.9,1.9,1/sqrt(t)+average,3363,1.595240833517625e-06
1.9,1.9,1/sqrt(t)+average,3581,1.5846862472140664e-06
1.9,1.9,1/sqrt(t)+average,3813,1.5738632641989727e-06
1.9,1.9,1/sqrt(t)+average,4060,1.5627672677408485e-06
1.9,1.9,1/sqrt(t)+average,4323,1.5513971146541716e-06
1.9,1.9,1/sqrt(t)+average,4603,1.5397547947393708e-06
1.9,1.9,1/sqrt(t)+average,4901,1.5278450964916771e-06
1.9,1.9,1/sqrt(t)+average,5000,1.5239912135882306e-06
1.9,1.9,1/sqrt(t)+average,5218,1.5156752812379868e-06
1.9,1.9,1/sqrt(t)+average,5556,1.5032186601631758e-06
1.9,1.9,1/sqrt(t)+average,5916,1.4904909373612583e-06
1.9,1.9,1/sqrt(t)+average,6300,1.4774759545230497e-06
1.9,1.9,1/sqrt(t)+average,6708,1.464227763548859e-06
1.9,1.9,1/sqrt(t)+average,7142,1.450734667796676e-06
1.9,1.9,1/sqrt(t)+average,7605,1.4369616950452816e-06
1.9,1.9,1/sqrt(t)+average,8000,1.425677125392678e-06
1.9,1.9,1/sqrt(t)+average,8098,1.4229398339852422e-06
1.9,1.9,1/sqrt(t)+average,8622,1.4086994541049026e-06
1.9,1.9,1/sqrt(t)+average,9181,1.3941940534980226e-06
1.9,1.9,1/sqrt(t)+average,9776,1.3794627465835272e-06
1.9,1.9,1/sqrt(t)+average,10000,1.3740925281861722e-06
1.9,1.9,1/sqrt(t)+average,10409,1.3645197850895673e-06
1.9,1.9,1/sqrt(t)+average,11083,1.3493599180311677e-06
1.9,1.9,1/sqrt(t)+average,11801,1.3339841122687934e-06
1.9,1.9,1/sqrt(t)+average,12566,1.3183987505580957e-06
1.9,1.9,1/sqrt(t)+average,13380,1.302633749764931e-06
1.9,1.9,1/sqrt(t)+average,14247,1.286683288061357e-06
1.9,1.9,1/sqrt(t)+average,15170,1.2705656841199532e-06
1.9,1.9,1/sqrt(t)+average,16153,1.254285739551749e-06
1.9,1.9,1/sqrt(t)+average,17199,1.2378689502401968e-06
1.9,1.9,1/sqrt(t)+average,18314,1.221298702619639e-06
1.9,1.9,1/sqrt(t)+average,19500,1.2046232716354646e-06
1.9,1.9,1/sqrt(t)+average,20000,1.197863362183721e-06
1.9,1.9,1/sqrt(t)+average,20763,1.1878359799767648e-06
1.9,1.9,1/sqrt(t)+average,22109,1.1709383589671358e-06
1.9,1.9,1/sqrt(t)+average,23541,1.1539734080432052e-06
1.9,1.9,1/sqrt(t)+average,25066,1.13693856777502e-06
1.9,1.9,1/sqrt(t)+average,26690,1.119849219616469e-06
1.9,1.9,1/sqrt(t)+average,28419,1.1027247424913306e-06
1.9,1.9,1/sqrt(t)+average,30260,1.0855785449408996e-06
1.9,1.9,1/sqrt(t)+average,32221,1.0684199628330398e-06
1.9,1.9,1/sqrt(t)+average,34308,1.0512797146768046e-06
1.9,1.9,1/sqrt(t)+average,36531,1.0341589817475508e-06
1.9,1.9,1/sqrt(t)+average,38897,1.0170871815248487e-06
1.9,1.9,1/sqrt(t)+average,41417,1.000068018400268e-06
1.9,1.9,1/sqrt(t)+average,44101,9.83117914104147e-07
1.9,1.9,1/sqrt(t)+average,46958,9.662625372019607e-07
1.9,1.9,1/sqrt(t)+average,50000,9.49512527156931e-07
1.9,3.8,constant+average,100,0.004621595358854554
1.9,3.8,constant+average,106,0.0042755059667868335
1.9,3.8,constant+average,113,0.003925118406273582
1.9,3.8,constant+average,121,0.0035817932801109563
1.9,3.8,constant+average,129,0.003287560599353134
1.9,3.8,constant+average,137,0.0030330285890030127
1.9,3.8,constant+average,146,0.00278524451242463
1.9,3.8,constant+average,155,0.002570787058877653
1.9,3.8,constant+average,165,0.002364310544114898
1.9,3.8,constant+average,176,0.002168621397001921
1.9,3.8,constant+average,187,0.0019996697145870128
1.9,3.8,constant+average,199,0.001840121020618622
1.9,3.8,constant+average,212,0.0016909839112677109
1.9,3.8,constant+average,226,0.0015527065785953596
1.9,3.8,constant+average,241,0.0014253147193424118
1.9,3.8,constant+average,256,0.001315327783761785
1.9,3.8,constant+average,273,0.0012077168988984832
1.9,3.8,constant+average,291,0.0011097643789800752
1.9,3.8,constant+average,310,0.001020775057485926
1.9,3.8,constant+average,330,0.0009400302847980599
1.9,3.8,constant+average,351,0.0008668178684982829
1.9,3.8,constant+average,374,0.0007976536034490623
1.9,3.8,constant+average,398,0.0007354400216720074
1.9,3.8,constant+average,424,0.0006773274824188399
1.9,3.8,constant+average,451,0.000625265311857308
1.9,3.8,constant+average,480,0.0005769672401336634
1.9,3.8,constant+average,511,0.000532417021149464
1.9,3.8,constant+average,545,0.0004903562158546139
1.9,3.8,constant+average,580,0.0004530674954120526
1.9,3.8,constant+average,617,0.0004190122672284431
1.9,3.8,constant+average,657,0.00038722377073159645
1.9,3.8,constant+average,700,0.00035776844191723393
1.9,3.8,constant+average,745,0.00033117878135751065
1.9,3.8,constant+average,794,0.0003062086575137707
1.9,3.8,constant+average,845,0.00028378963493293804
1.9,3.8,constant+average,900,0.0002629136560718413
1.9,3.8,constant+average,958,0.00024390557027639093
1.9,3.8,constant+average,1000,0.0002317360837062833
1.9,3.8,constant+average,1020,0.00022635028225195
1.9,3.8,constant+average,1086,0.00021020479975844563
1.9,3.8,constant+average,1157,0.00019520574201422003
1.9,3.8,constant+average,1232,0.00018152097057758226
1.9,3.8,constant+average,1311,0.00016904984981244183
1.9,3.8,constant+average,1396,0.0001574369112105298
1.9,3.8,constant+average,1487,0.00014668549588471631
1.9,3.8,constant+average,1583,0.00013687042478777522
1.9,3.8,constant+average,1686,0.0001277525411435348
1.9,3.8,constant+average,1795,0.00011939529547010986
1.9,3.8,constant+average,1911,0.0001116848331501873
1.9,3.8,constant+average,2000,0.00010645341280442289
1.9,3.8,constant+average,2035,0.00010453773244417006
1.9,3.8,constant+average,2167,9.793874120376465e-05
1.9,3.8,constant+average,2307,9.186314074357761e-05
1.9,3.8,constant+average,2457,8.621008263559008e-05
1.9,3.8,constant+average,2616,8.100383080745084e-05
1.9,3.8,constant+average,2785,7.619093509852387e-05
1.9,3.8,constant+average,2966,7.170615388115698e-05
1.9,3.8,constant+average,3000,7.093021267613612e-05
1.9,3.8,constant+average,3158,6.756486803181798e-05
1.9,3.8,constant+average,3363,6.371280353295861e-05
1.9,3.8,constant+average,3581,6.0141951190466926e-05
1.9,3.8,constant+average,3813,5.682639169130595e-05
1.9,3.8,constant+average,4060,5.37441294625128e-05
1.9,3.8,constant+average,4323,5.0876149876760713e-05
1.9,3.8,constant+average,4603,4.820572996999072e-05
1.9,3.8,constant+average,4901,4.571793707185788e-05
1.9,3.8,constant+average,5000,4.496060770211982e-05
1.9,3.8,constant+average,5218,4.339926628364686e-05
1.9,3.8,constant+average,5556,4.123137128614098e-05
1.9,3.8,constant+average,5916,3.92050895835055e-05
1.9,3.8,constant+average,6300,3.730690500298468e-05
1.9,3.8,constant+average,6708,3.553399130558583e-05
1.9,3.8,constant+average,7142,3.3874303815103054e-05
1.9,3.8,constant+average,7605,3.231473275762035e-05
1.9,3.8,constant+average,8000,3.1127463143752945e-05
1.9,3.8,constant+average,8098,3.0850815744235376e-05
1.9,3.8,constant+average,8622,2.947769634403571e-05
1.9,3.8,constant+average,9181,2.8183774899445423e-05
1.9,3.8,constant+average,9776,2.6966164583705828e-05
1.9,3.8,constant+average,10000,2.654439740073774e-05
1.9,3.8,constant+average,10409,2.581975248931511e-05
1.9,3.8,constant+average,11083,2.473836559403807e-05
1.9,3.8,constant+average,11801,2.371688145337393e-05
1.9,3.8,constant+average,12566,2.2750965682590642e-05
1.9,3.8,constant+average,13380,2.1837934383782113e-05
1.9,3.8,constant+average,14247,2.0973203859761666e-05
1.9,3.8,constant+average,15170,2.0153865773431352e-05
1.9,3.8,constant+average,16153,1.9376524958101558e-05
1.9,3.8,constant+average,17199,1.863898018553712e-05
1.9,3.8,constant+average,18314,1.7937357567348233e-05
1.9,3.8,constant+average,19500,1.7270763039774705e-05
1.9,3.8,constant+average,20000,1.7011001291691784e-05
1.9,3.8,constant+average,20763,1.6636133269675387e-05
1.9,3.8,constant+average,22109,1.6031016426455644e-05
1.9,3.8,constant+average,23541,1.5454558938519696e-05
1.9,3.8,constant+average,25066,1.4904404225568552e-05
1.9,3.8,constant+average,26690,1.4378968263280913e-05
1.9,3.8,constant+average,28419,1.3876888489177575e-05
1.9,3.8,constant+average,30260,1.3396719777930966e-05
1.9,3.8,constant+average,32221,1.2937017037141437e-05
1.9,3.8,constant+average,34308,1.2496989271859479e-05
1.9,3.8,constant+average,36531,1.2075153132003861e-05
1.9,3.8,constant+average,38897,1.1670817126642628e-05
1.9,3.8,constant+average,41417,1.1282738759263238e-05
1.9,3.8,constant+average,44101,1.0910059834153042e-05
1.9,3.8,constant+average,46958,1.0552176056770055e-05
1.9,3.8,constant+average,50000,1.0208212069077024e-05
1.9,3.8,1/sqrt(t)+average,100,0.007288256269536124
1.9,3.8,1/sqrt(t)+average,106,0.006920671648863122
1.9,3.8,1/sqrt(t)+average,113,0.00653999834279765
1.9,3.8,1/sqrt(t)+average,121,0.006157498014740056
1.9,3.8,1/sqrt(t)+average,129,0.005821131517646674
1.9,3.8,1/sqrt(t)+average,137,0.005522890155799568
1.9,3.8,1/sqrt(t)+average,146,0.005225220703812777
1.9,3.8,1/sqrt(t)+average,155,0.004960988988923049
1.9,3.8,1/sqrt(t)+average,165,0.004700049243387965
1.9,3.8,1/sqrt(t)+average,176,0.004446043189987459
1.9,3.8,1/sqrt(t)+average,187,0.004220807300496809
1.9,3.8,1/sqrt(t)+average,199,0.004002392084440251
1.9,3.8,1/sqrt(t)+average,212,0.003792552515429619
1.9,3.8,1/sqrt(t)+average,226,0.0035924355193622556
1.9,3.8,1/sqrt(t)+average,241,0.0034026969672858926
1.9,3.8,1/sqrt(t)+average,256,0.003234179311686363
1.9,3.8,1/sqrt(t)+average,273,0.0030645184534117843
1.9,3.8,1/sqrt(t)+average,291,0.0029054202874077627
1.9,3.8,1/sqrt(t)+average,310,0.0027565011192258277
1.9,3.8,1/sqrt(t)+average,330,0.002617284345611582
1.9,3.8,1/sqrt(t)+average,351,0.002487239055419073
1.9,3.8,1/sqrt(t)+average,374,0.002360607931336637
1.9,3.8,1/sqrt(t)+average,398,0.0022431532194242382
1.9,3.8,1/sqrt(t)+average,424,0.0021300000242999405
1.9,3.8,1/sqrt(t)+average,451,0.002025434144693325
1.9,3.8,1/sqrt(t)+average,480,0.0019253760543065882
1.9,3.8,1/sqrt(t)+average,511,0.0018301393419540523
1.9,3.8,1/sqrt(t)+average,545,0.0017372925891815274
1.9,3.8,1/sqrt(t)+average,580,0.0016522881894659362
1.9,3.8,1/sqrt(t)+average,617,0.0015721592228234238
1.9,3.8,1/sqrt(t)+average,657,0.0014949405011882714
1.9,3.8,1/sqrt(t)+average,700,0.0014210357284482323
1.9,3.8,1/sqrt(t)+average,745,0.0013521309550119573
1.9,3.8,1/sqrt(t)+average,794,0.001285292510777951
1.9,3.8,1/sqrt(t)+average,845,0.001223306191634281
1.9,3.8,1/sqrt(t)+average,900,0.0011636968738521715
1.9,3.8,1/sqrt(t)+average,958,0.0011076436185373634
1.9,3.8,1/sqrt(t)+average,1000,0.0010707712417452582
1.9,3.8,1/sqrt(t)+average,1020,0.001054187807367646
1.9,3.8,1/sqrt(t)+average,1086,0.001003424495602327
1.9,3.8,1/sqrt(t)+average,1157,0.0009547288720629432
1.9,3.8,1/sqrt(t)+average,1232,0.0009088574419012477
1.9,3.8,1/sqrt(t)+average,1311,0.0008657168504526691
1.9,3.8,1/sqrt(t)+average,1396,0.0008242680347016015
1.9,3.8,1/sqrt(t)+average,1487,0.0007846732955711744
1.9,3.8,1/sqrt(t)+average,1583,0.000747388418479091
1.9,3.8,1/sqrt(t)+average,1686,0.000711672176872679
1.9,3.8,1/sqrt(t)+average,1795,0.0006779243176655898
1.9,3.8,1/sqrt(t)+average,1911,0.0006458404632400904
1.9,3.8,1/sqrt(t)+average,2000,0.0006235057981127299
1.9,3.8,1/sqrt(t)+average,2035,0.0006152049230619282
1.9,3.8,1/sqrt(t)+average,2167,0.0005860764557070662
1.9,3.8,1/sqrt(t)+average,2307,0.0005584728147733339
1.9,3.8,1/sqrt(t)+average,2457,0.0005320476907045783
1.9,3.8,1/sqrt(t)+average,2616,0.0005070200367181051
1.9,3.8,1/sqrt(t)+average,2785,0.0004832403411687138
1.9,3.8,1/sqrt(t)+average,2966,0.000460476857400634
1.9,3.8,1/sqrt(t)+average,3000,0.00045647548958798297
1.9,3.8,1/sqrt(t)+average,3158,0.00043889448321698883
1.9,3.8,1/sqrt(t)+average,3363,0.0004182947993674835
1.9,3.8,1/sqrt(t)+average,3581,0.00039871169034567055
1.9,3.8,1/sqrt(t)+average,3813,0.000380077138182286
1.9,3.8,1/sqrt(t)+average,4060,0.0003623356703652647
1.9,3.8,1/sqrt(t)+average,4323,0.00034544093944992234
1.9,3.8,1/sqrt(t)+average,4603,0.0003293531314939579
1.9,3.8,1/sqrt(t)+average,4901,0.00031403702630333665
1.9,3.8,1/sqrt(t)+average,5000,0.0003093087985318799
1.9,3.8,1/sqrt(t)+average,5218,0.00029946057025386543
1.9,3.8,1/sqrt(t)+average,5556,0.00028555492715766454
1.9,3.8,1/sqrt(t)+average,5916,0.00027230387353482043
1.9,3.8,1/sqrt(t)+average,6300,0.0002596583535448838
1.9,3.8,1/sqrt(t)+average,6708,0.00024763663605765617
1.9,3.8,1/sqrt(t)+average,7142,0.00023619197595819757
1.9,3.8,1/sqrt(t)+average,7605,0.00022526483885179573
1.9,3.8,1/sqrt(t)+average,8000,0.00021683152379035718
1.9,3.8,1/sqrt(t)+average,8098,0.00021485204110055153
1.9,3.8,1/sqrt(t)+average,8622,0.0002049455902652176
1.9,3.8,1/sqrt(t)+average,9181,0.0001954856472603803
1.9,3.8,1/sqrt(t)+average,9776,0.00018647255836585285
1.9,3.8,1/sqrt(t)+average,10000,0.00018332545939014956
1.9,3.8,1/sqrt(t)+average,10409,0.00017788843742668763
1.9,3.8,1/sqrt(t)+average,11083,0.0001697050692405315
1.9,3.8,1/sqrt(t)+average,11801,0.0001618997898475111
1.9,3.8,1/sqrt(t)+average,12566,0.000154453944455524
1.9,3.8,1/sqrt(t)+average,13380,0.00014735996069933124
1.9,3.8,1/sqrt(t)+average,14247,0.00014059400108257973
1.9,3.8,1/sqrt(t)+average,15170,0.000134143775156115
1.9,3.8,1/sqrt(t)+average,16153,0.00012799186700150687
1.9,3.8,1/sqrt(t)+average,17199,0.00012212911285303538
1.9,3.8,1/sqrt(t)+average,18314,0.0001165319648266727
1.9,3.8,1/sqrt(t)+average,19500,0.00011119964591289997
1.9,3.8,1/sqrt(t)+average,20000,0.00010911865922913043
1.9,3.8,1/sqrt(t)+average,20763,0.00010611320708084423
1.9,3.8,1/sqrt(t)+average,22109,0.00010125777489136968
1.9,3.8,1/sqrt(t)+average,23541,9.66306089934116e-05
1.9,3.8,1/sqrt(t)+average,25066,9.221628599811367e-05
1.9,3.8,1/sqrt(t)+average,26690,8.800502907412345e-05
1.9,3.8,1/sqrt(t)+average,28419,8.398834550385186e-05
1.9,3.8,1/sqrt(t)+average,30260,8.015664672365741e-05
1.9,3.8,1/sqrt(t)+average,32221,7.64999743819956e-05
1.9,3.8,1/sqrt(t)+average,34308,7.301323672179397e-05
1.9,3.8,1/sqrt(t)+average,36531,6.968555508773127e-05
1.9,3.8,1/sqrt(t)+average,38897,6.651206244701218e-05
1.9,3.8,1/sqrt(t)+average,41417,6.348333793513496e-05
1.9,3.8,1/sqrt(t)+average,44101,6.059280850089281e-05
1.9,3.8,1/sqrt(t)+average,46958,5.783569815602008e-05
1.9,3.8,1/sqrt(t)+average,50000,5.520499357987849e-05
